UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	71
0	127
82	0
1	0
121	1
0	667
13	0
0	0
0	27
0	2
0	9
0	8
0	3
0	34
28	0
0	171
0	89
0	89
0	0
0	74
0	1
0	91
17	76
6	71
0	17
0	74
0	0
0	89
41	268
0	5596
0	82
0	15
0	1362
0	99
0	64
0	11
0	1470
0	20
0	935
0	616
0	1
0	0
37	1
200	2
4346	1900
0	1855
15	0
0	16
0	71
0	127
0	0
0	1
0	667
0	0
52	27
0	2
0	9
0	8
0	3
0	34
0	171
0	89
0	89
0	0
0	74
0	18
36	0
0	91
0	76
0	31
0	98
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	11
0	15
0	7
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	16
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	1
0	3
0	7
0	13
0	10
0	0
0	6
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
14	0
0	0
0	91
0	76
0	31
0	64
0	17
0	0
0	89
0	34
0	5596
0	82
0	15
0	1362
0	100
0	64
0	36
0	1470
0	20
0	935
0	481
0	44
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	2
23	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	9
0	0
0	0
25	11
0	0
0	0
0	0
0	7
0	0
0	5
0	6
6	0
0	0
0	21
0	0
0	0
0	0
0	0
0	0
0	10
0	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
3	0
0	0
0	0
1	0
0	0
6	0
2	0
0	0
0	0
0	0
0	23
0	0
0	11
0	11
0	5
0	6
0	0
0	0
0	1
0	95
0	31
0	76
0	87
0	0
13	0
86	15
0	0
0	89
0	34
0	5596
0	82
0	15
0	1362
0	100
0	64
0	36
0	1470
0	20
0	935
0	616
0	1
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	11
0	32
42	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	0
