UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	62
0	162
62	4
12	0
93	14
0	657
9	0
0	0
0	36
0	0
0	11
0	22
0	0
0	35
18	0
0	167
0	105
0	106
0	0
0	325
0	4
0	234
37	116
7	32
0	20
0	325
0	0
0	106
44	291
0	10877
0	96
0	7
0	605
0	96
0	64
0	8
0	2061
0	41
0	968
0	583
0	6
0	0
28	0
86	2
3534	715
0	679
14	2
0	5
0	62
0	162
0	0
0	14
0	657
0	0
71	36
0	0
0	11
0	22
0	0
0	35
0	167
0	105
0	106
0	0
0	325
0	11
23	0
0	234
0	116
0	56
0	54
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	18
0	7
0	11
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	8
0	26
0	38
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	7
0	0
0	0
0	0
0	11
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
12	0
0	0
0	234
0	116
0	56
0	28
0	20
0	0
0	106
0	35
0	10877
0	96
0	7
0	605
0	105
0	64
0	24
0	2061
0	41
0	968
0	451
0	20
0	2
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
2	0
6	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
1	0
1	0
0	14
0	0
0	13
5	18
0	2
0	0
0	0
0	14
0	0
0	7
0	0
0	0
0	0
0	29
0	0
0	0
0	0
0	0
0	0
0	0
0	62
0	0
0	0
4	0
0	0
4	0
0	0
0	0
1	0
8	0
5	0
0	0
0	0
0	0
6	0
0	0
5	0
0	0
0	0
0	0
0	0
13	11
0	0
0	17
0	14
0	7
0	0
0	0
0	0
0	4
0	45
0	56
0	116
0	227
0	0
27	0
76	11
0	0
0	106
0	35
0	10877
0	96
0	7
0	605
0	105
0	64
0	24
0	2061
0	41
0	968
0	583
0	6
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	3
0	0
0	1
0	9
0	62
113	34
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
0	0
4	0
0	0
0	0
