UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	73
0	105
32	0
7	0
86	12
0	673
0	10
0	10
0	28
0	0
0	9
0	13
0	3
0	45
35	0
0	138
0	57
0	87
0	0
0	176
0	16
0	153
25	127
0	11
0	35
0	176
0	0
0	87
57	203
0	11380
0	106
0	16
0	857
0	28
0	39
0	2
0	2265
0	31
0	947
0	581
0	0
0	0
12	14
76	0
4238	775
0	750
7	1
0	11
0	73
0	105
0	0
0	12
0	673
0	10
132	28
0	0
0	9
0	13
0	3
0	45
0	138
0	57
0	87
0	0
0	176
0	36
9	0
0	153
0	127
0	87
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	23
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	11
0	51
0	0
0	0
0	0
15	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	22
3	4
0	0
0	153
0	127
0	87
0	21
0	35
0	0
0	87
0	45
0	11380
0	106
0	16
0	857
0	49
0	39
0	9
0	2265
0	31
0	947
0	424
1	18
0	0
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
2	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	15
0	0
4	0
0	0
0	0
0	11
3	16
0	0
0	0
0	0
0	1
0	0
0	6
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	43
0	0
7	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
17	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	1
0	0
0	32
0	1
0	6
0	0
0	5
0	0
0	1
0	35
0	87
0	127
0	143
0	0
25	4
209	36
0	0
0	87
0	45
0	11380
0	106
0	16
0	857
0	49
0	39
0	9
0	2265
0	31
0	947
0	581
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	5
0	43
66	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
9	0
0	0
3	0
0	0
0	0
