UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	50
0	187
0	103
180	0
10	0
195	14
0	1272
39	16
0	16
0	43
0	1
0	22
0	67
0	5
0	26
98	0
0	140
0	66
0	218
0	0
0	299
0	7
0	180
58	115
20	87
0	64
0	299
0	0
0	218
39	215
0	7898
0	252
0	17
0	3286
0	81
0	175
0	15
0	2476
0	37
0	1904
0	1266
0	11
0	0
57	1
154	1
9162	4337
0	4257
19	0
0	50
0	187
0	103
0	0
0	14
0	1272
0	16
210	53
0	1
0	22
0	67
0	5
0	26
0	140
0	66
0	218
0	0
0	299
0	47
32	0
0	180
0	115
0	89
0	138
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	7
0	14
0	31
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
6	1
0	38
0	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	4
0	0
0	0
0	0
0	14
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
22	4
0	0
0	180
0	115
0	89
0	76
0	64
0	0
0	218
0	26
0	7898
0	252
0	17
0	3286
0	81
0	175
0	50
0	2476
0	37
0	1904
0	934
1	78
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	1
18	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
5	0
0	0
0	5
0	0
0	0
0	0
0	0
0	2
18	20
0	0
3	0
0	0
0	1
0	0
0	6
0	2
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	26
1	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
4	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	14
0	0
0	23
0	1
0	6
0	2
0	0
0	0
0	2
0	130
0	89
0	115
1	135
0	0
27	4
156	47
0	0
0	218
0	26
0	7898
0	252
0	17
0	3286
0	81
0	175
0	50
0	2476
0	37
0	1904
0	1266
0	11
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	10
0	26
47	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	2
0	0
27	0
0	0
