GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc00g500019.1	-1.26904243199302	1.42554400583476	-1.2491619747057	0.217001580751266	0.948196662475426	-4.64373604809957
Solyc00g500020.1	-1.1715070333396	3.58064247893345	-1.74244440826028	0.0871320377497848	0.810307735584105	-4.59717036256221
Solyc00g500021.1	-0.204291979343218	6.30002372630297	-0.695563969781665	0.489689025647486	0.992394116594408	-6.24742963899765
Solyc00g500022.1	-0.925941918656838	2.97585471273832	-0.970426727215265	0.336166958078263	0.973862743546185	-5.26558791642511
Solyc00g180440.2	-0.896933293608147	0.285030557310077	-0.880473723738978	0.382510380266411	0.980677964485771	-4.80228205385095
Solyc00g500023.1	-0.631100723031239	3.6533125976791	-1.11615800344864	0.269303957448349	0.961079289481752	-5.32802235422216
Solyc00g500024.1	-1.31883912346652	5.73580093756092	-1.76604499495683	0.0830493414162082	0.809601314212067	-4.93413075718057
Solyc00g500025.1	-1.69054722877532	2.30105715827464	-1.59623732678711	0.11628074220523	0.863672160118258	-4.45608074730861
Solyc00g500026.1	-1.66047437873162	0.109444070516692	-0.938474983674139	0.352185336331023	0.975470023959787	-4.72507716041301
Solyc00g500028.1	-1.27625902420059	3.10724290799877	-1.36777373142833	0.177056767840758	0.930021179958136	-4.9890391394081
Solyc00g500029.1	-1.22154598585088	1.30375701793099	-1.06277804966296	0.29261937421816	0.968665394097487	-4.81776046602835
Solyc00g500030.1	-1.50724129654391	0.597054231077111	-1.76347065018011	0.0834867959195357	0.810307735584105	-4.1278585005254
Solyc00g500031.1	-0.611530018806341	1.77918504919369	-0.597908728438178	0.552403955488132	0.992394116594408	-5.16400840937518
Solyc00g500032.1	-0.980525176869075	1.26389997880357	-1.01289262879835	0.315635175191841	0.972105648198502	-4.91629414884945
Solyc00g500033.1	-0.582541219226658	1.35136424032784	-1.19572731122311	0.237035114220432	0.948910503330836	-4.79066295211437
Solyc00g500034.1	-0.792365410178612	1.91129246933365	-0.85854619176681	0.394391505528309	0.980677964485771	-5.07632790900759
Solyc00g500035.1	-0.629326203300685	0.194815653549126	-0.560172676567171	0.577681715396518	0.992394116594408	-4.88261214222523
Solyc00g500036.1	-0.547354433736566	3.43995600174987	-1.29964901541988	0.199250331741268	0.942418628571623	-5.19236096399924
Solyc00g500037.1	-1.15403499855642	3.22917957529072	-1.26158145609522	0.212529941314815	0.948196662475426	-5.09963932605924
Solyc00g500038.1	-0.304340140501865	1.3800346125903	-0.283001259239458	0.778259527400211	0.993942206324513	-5.10495819831809
Solyc00g500039.1	-1.3325362432666	11.1667029604474	-1.71729079231348	0.0916652967414104	0.814549180700943	-4.78740976013136
Solyc00g500040.1	-1.51106453091629	0.643746844735659	-1.42120730154652	0.161014417493577	0.916568071423614	-4.49267565702056
