Species	Tissue	Sample name	Eppy code	sampleID	Note	Biological group	Genotype	infection 	temperature
Solanum lycopersicum	leaf	Fla_H22_4	4	Fla_H_4		Fla_H22_4dpi	FLA	H	22
Solanum lycopersicum	leaf	Fla_H22_5	5	Fla_H_5		Fla_H22_4dpi	FLA	H	22
Solanum lycopersicum	leaf	Fla_H22_6	6	Fla_H_6		Fla_H22_4dpi	FLA	H	22
Solanum lycopersicum	leaf	Fla_SNI22_1	49	Fla_SNI_49		Fla_SNI22_4dpi	FLA	SNI	22
Solanum lycopersicum	leaf	Fla_SNI22_2	50	Fla_SNI_50		Fla_SNI22_4dpi	FLA	SNI	22
Solanum lycopersicum	leaf	Fla_SNI22_4	52	Fla_SNI_52		Fla_SNI22_4dpi	FLA	SNI	22
Solanum lycopersicum	leaf	Fla_SRB22_1	97	Fla_SRB_97		Fla_SRB22_4dpi	FLA	SRB	22
Solanum lycopersicum	leaf	Fla_SRB22_2	98	Fla_SRB22_98		Fla_SRB22_4dpi	FLA	SRB	22
Solanum lycopersicum	leaf	Fla_SRB22_3	99	Fla_SRB22_99		Fla_SRB22_4dpi	FLA	SRB	22
Solanum lycopersicum	leaf	SW5_H22_1	7	SW5_H_7		SW5_H22_4dpi	SW5	H	22
Solanum lycopersicum	leaf	SW5_H22_5	11	SW5_H_11		SW5_H22_4dpi	SW5	H	22
Solanum lycopersicum	leaf	SW5_H22_6	12	SW5_H_12		SW5_H22_4dpi	SW5	H	22
Solanum lycopersicum	leaf	SW5_SNI22_1	55	SW5_SNI_55		SW5_SNI22_4dpi	SW5	SNI	22
Solanum lycopersicum	leaf	SW5_SNI22_2	56	SW5_SNI_56		SW5_SNI22_4dpi	SW5	SNI	22
Solanum lycopersicum	leaf	SW5_SNI22_3	57	SW5_SNI_57		SW5_SNI22_4dpi	SW5	SNI	22
Solanum lycopersicum	leaf	SW5_SRB22_1	103	SW5_SRB_103		SW5_SRB22_4dpi	SW5	SRB	22
Solanum lycopersicum	leaf	SW5_SRB22_2	104	SW5_SRB_104		SW5_SRB22_4dpi	SW5	SRB	22
Solanum lycopersicum	leaf	SW5_SRB22_3	105	SW5_SRB_105		SW5_SRB22_4dpi	SW5	SRB	22
Solanum lycopersicum	leaf	SW7_H22_4	16	SW7_H_16		SW7_H22_4dpi	SW7	H	22
Solanum lycopersicum	leaf	SW7_H22_5	17	SW7_H_17		SW7_H22_4dpi	SW7	H	22
Solanum lycopersicum	leaf	SW7_H22_6	18	SW7_H_18		SW7_H22_4dpi	SW7	H	22
Solanum lycopersicum	leaf	SW7_SNI22_2	62	SW7_SNI_62		SW7_SNI22_4dpi	SW7	SNI	22
Solanum lycopersicum	leaf	SW7_SNI22_5	65	SW7_SNI_65		SW7_SNI22_4dpi	SW7	SNI	22
Solanum lycopersicum	leaf	SW7_SNI22_6	66	SW7_SNI_66		SW7_SNI22_4dpi	SW7	SNI	22
Solanum lycopersicum	leaf	SW7_SRB22_2	110	SW7_SRB_110		SW7_SRB22_4dpi	SW7	SRB	22
Solanum lycopersicum	leaf	SW7_SRB22_5	113	SW7_SRB_113		SW7_SRB22_4dpi	SW7	SRB	22
Solanum lycopersicum	leaf	SW5-7_H22_1	19	SW57_H_19		SW5-7_H22_4dpi	SW5-7	H	22
Solanum lycopersicum	leaf	SW5-7_H22_2	20	SW57_H_20		SW5-7_H22_4dpi	SW5-7	H	22
Solanum lycopersicum	leaf	SW5-7_H22_6	23	SW57_H_23		SW5-7_H22_4dpi	SW5-7	H	22
Solanum lycopersicum	leaf	SW5-7_SNI22_1	67	SW57_SNI_67		SW5-7_SNI22_4dpi	SW5-7	SNI	22
Solanum lycopersicum	leaf	SW5-7_SNI22_2	68	SW57_SNI_68		SW5-7_SNI22_4dpi	SW5-7	SNI	22
Solanum lycopersicum	leaf	SW5-7_SNI22_3	69	SW57_SNI_69		SW5-7_SNI22_4dpi	SW5-7	SNI	22
Solanum lycopersicum	leaf	SW5-7_SRB22_1	115	SW57_SRB_115		SW5-7_SRB22_4dpi	SW5-7	SRB	22
